"Standard","Standard"
"Minimal","Minimal"
"Optional","Opţional"
"Required","Solicitat"
"Hidden","Ascuns"
"The fire checkout is disabled.","Firecheckout este inactiv."
"Fire Checkout Section","Secţiunea Firecheckout"
"Fire Checkout","Fire Checkout"
"Default Shipping Method","Metoda de livrare implicită"
"Default Payment Method","Metoda de plată implicită"
"Default Country","Ţara implicită"
"GeoIP","GeoIP"
"Enable Country Detection","Detectare ţară activă"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it"
"Enable Country, City, Postcode detection","Enable Country, City, Postcode detection"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it"
"Show Shipping Address Form","Form livrare adresă"
"Show Subscribe to Newsletter Checkbox","Newsletter checkbox"
"Address Form Fields","Câmpuri adresă"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Înainte de a edita anumite câmpuri asigură-te că provider-ul de plată/livrare nu le solicită."
"Output Type","Tip ieşire"
"Create account for later use","Crează-ţi cont"
"Checkout Review","Checkout review"
"Already registered? Login into your account","Cont YMALL existent? Login aici"
"Show Comment Field","Câmpul comentariu"
"Guest checkout is allowed","Guest checkout este permis"
"Registration is required","Înregistrarea este necesară"
"User is registered during checkout without prompting a password","Utilizatorul este înregistrat în timpul checkout-ul fără solcitare parolă"
"Registration mode","Modul de înregistrare"
"Show Discount Coupon Field","Câmpul de discount"
"Firecheckout on Mobile Devices","Firecheckout pe mobile device"
"Enable Region Detection","Detecţie regiune activă"
"GeoIp filename","GeoIP nume de fişier"
"GeoIPRegion filename","Regiune GeoIP nume de fisier"
"GeoCity filename","GeoOraş nume de fişier"
"<a href='http://www.maxmind.com/app/region' title='Purchase Region database'>Purchase</a>, download and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://www.maxmind.com/app/region' title='Купить базу регионов'>Купить</a>, скачайте и установите файлі в директорию 'MAGETO_ROOT/lib/MaxMind/GeoIP/data'"
"GeoIP is enabled but not included. geoip_open function doesn't found","GeoIP este activ dar nu este inclus. geoip_open funcţie de negăsit."
"Country detection is enabled but %s not found","Detecţia de ţară este activă dar %s nu poate fi găsită"
"Region detection is enabled but %s not found","Detecţia de regiune este activă dar %s nu poate fi găsită"
"City detection is enabled but %s not found","Detecţia de oraş este activă dar %s nu poate fi găsită"
