"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s a fost adăugat la Favorite. Click <a href=""%2$s"">aici</a> pentru a continua cumpărăturile."
"%s's Wishlist","Favoritele lui %s"
"* Required Fields","* câmpuri obligatorii"
"Add All to Cart","Adăuga produsele în coş"
"Add to Cart","Pune în coş"
"Add to Wishlist","Adaugă la Favorite"
"Added On","Adăugat la"
"Are You sure?","Eşti sigur(ă)?"
"Are you sure you want to remove this product from your wishlist?","Eşti sigur că vrei sş ştergi produsul de la Favorite?"
"Are you sure you would like to remove this item from the wishlist?","Eşti sigur cş vrei să ştergi articolul din lista de favorite?"
"Back","Înapoi"
"Can't save description %s","Nu pot salva descrierea %s"
"Cannot create wishlist","Nu pot crea lista de favorite"
"Cannot specify product","Nu pot specifica produsul"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Bifează dacă vrei să adaugi un link catre un feed RSS în lista ta de favorite."
"Comment","Comentariu"
"Email Sender","Expeditor email"
"Email Template","Template de email"
"Email address can't be empty.","Adresa de email nu poate fi goală."
"Email addresses, separated by commas","Adrese email, separate de virgula"
"Enabled","Activat"
"General Options","Opţiuni generale"
"Go to Wishlist","Mergi la favorite"
"Last Added Items","Ultimele adăugate"
"Message","Mesaj"
"My Wishlist","Lista mea de favorite
"My Wishlist (%d item)","Favorite (%d item)"
"My Wishlist (%d items)","Favorite (%d items)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Introdu adrese de mail valide, separate de virgula. De exemplu, fifi1987@domeniu.ro."
"Please, enter your comments...","Introdu comentariile..."
"Product","Produs"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Link RSS catre favoritele lui %s'"
"Remove Item","Sterge articol"
"Share Wishlist","Trimite favoritele"
"Share Your Wishlist","Trimite lista ta de favorite"
"Share options","Opţiuni share favorite"
"Sharing Information","Informatii share favorite"
"There was an error while adding item to wishlist.","Eroare la adaugarea articolului in lista de favorite."
"There was an error while adding item to wishlist: %s","Eroare la adaugarea articolului in lista de favorite: %s"
"There was an error while deleting item from wishlist.","Eroare la stergerea articolului din lista de favorite."
"There was an error while deleting item from wishlist: %s","Eroare la stergerea articolului din lista de favorite: %s"
"This product(s) is currently out of stock:","Produsul nu este momentan in stoc:"
"Update Wishlist","Actualizează favorite"
"View Product","Vezi produs"
"Wishlist","Favorite"
"Wishlist Section","Secţiunea Lista de favorite
"Wishlist Sharing","Partajare favorite"
"Wishlist is empty now.","Lista de favorite e goală."
"You have no items in your wishlist.","Nu ai adăugat niciun produs favorit."
"You input not valid email address.","Ai introdus o adresă de email nevalida."
"Your Wishlist was successfully shared","Lista de favorite a fost trimisă cu succes."
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Favorite"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Lasă un comentariu la acest produs...."
"Product Details and Comment","Detalii şi comentarii"
"Remove item","Şterge"
"%1$s has been updated in your wishlist.","%1$s a fost actualizat în lista ta de favorite."
"Your Wishlist has been shared.","Lista ta de favorite a fost share-uită."
"Cannot load wishlist item","Produsul nu mai există în lista ta de favorite."
